"","track_name","track_id","artist_name","duration_ms","popularity","explicit","album_name","album_id","release_date","playlist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"1","Green Juice (feat. Pharrell Williams)","0VPir804AaU2Iw1ardsDLS","A$AP Ferg",174136,49,TRUE,"Green Juice (feat. Pharrell Williams)","0VZNwfArwS5haypFDKiXZO",2021-10-28,"chasin paper",0.639,0.599,0,-3.925,1,0.0376,0.272,1.32e-05,0.179,0.138,120.061,4
"2","Move The Chains","23Cv6zTTaCwir6YrXHSK6u","Beau Young Prince",112826,35,FALSE,"Move The Chains","0MJccdkrMBjWKZBw97RXpl",2019-07-24,"chasin paper",0.801,0.941,0,-4.204,1,0.206,0.0147,0,0.65,0.759,104.488,4
"3","Obsessed With You","4PYfFHKfjYz6dwAtZhBy1z","Central Cee",108650,73,TRUE,"Obsessed With You","1gXyOc0Unev5AqD9X248v9",2021-09-10,"chasin paper",0.746,0.825,3,-4.457,1,0.0435,0.192,0,0.365,0.904,143.062,4
"4","Mr. Put It On","70EiV32gjM86o0XeTj5nq0","AG Club",167323,51,TRUE,"Mr. Put It On","1OE9RhxKK7NY2r9vRUP8hg",2022-01-21,"chasin paper",0.753,0.735,2,-6.687,1,0.391,0.101,0,0.357,0.714,141.982,4
"5","hibachi (feat. Kodak Black & 21 Savage)","7FCDmAel69bzxRkOxbh2dB","Roddy Ricch",170413,65,TRUE,"LIVE LIFE FAST","1eVrpJbHRLBbioB9sb5b94",2021-12-17,"chasin paper",0.681,0.522,5,-8.74,0,0.303,0.0191,0,0.415,0.219,172.946,4
"6","BILLI (feat. Future)","2w0DHjwF1NIMGXKeypz0sr","EARTHGANG",163802,55,TRUE,"GHETTO GODS","2NwAbsKSl0jrpFw7nyeX8v",2022-02-25,"chasin paper",0.844,0.5,1,-7.271,1,0.386,0.0393,0,0.109,0.302,155.048,4
"7","Heaven and Hell","2Y40huo5ewaKYxsFintYtF","Kanye West",145301,66,FALSE,"Donda","5CnpZV3q5BcESefcB3WJmz",2021-08-29,"chasin paper",0.764,0.422,0,-7.265,0,0.119,0.0409,0,0.152,0.268,82.986,4
"8","Money In The Way","1Du1gIiBziiR6SUx3gnSvr","2 Chainz",161653,48,TRUE,"Rap Or Go To The League","1BR69wIifGZUSimcuTjWVg",2019-03-01,"chasin paper",0.79,0.793,7,-4.138,1,0.2,0.238,2.14e-06,0.305,0.584,85.006,4
"9","Neck & Wrist (feat. JAY-Z & Pharrell Williams)","7kQJCw0ZkvHgfJqRwPblmG","Pusha T",209314,64,TRUE,"It's Almost Dry","6o38CdD7CUlZDCFhjZYLDH",2022-04-22,"chasin paper",0.625,0.542,9,-4.365,1,0.266,0.0223,0,0.377,0.328,152.403,4
"10","Savior","0YeUVm23SAkUruwEx9LWnt","Kendrick Lamar",224466,56,TRUE,"Mr. Morale & The Big Steppers","1atjqOZTCdrjxjMyCPZc2g",2022-05-13,"chasin paper",0.605,0.692,8,-7.45,1,0.446,0.495,0,0.303,0.685,124.84,5
